River,Location Name ,Model Type,Length (miles),RM Start,RM End,Latitude,Longtidue,Status,Location_Source,Source,Link
Klamath River,RRanch ,2D hydrodynamic model,,184,185,41.907344,-122.461983,Developed 2012,google maps,"Perry, Russell W., et al. Application of the Stream Salmonid Simulator (S3) to Klamath River Fall Chinook Salmon (Oncorhynchus tshawytscha), California—Parameterization and Calibration. U.S. Geological Survey, 2019, https://doi.org/10.3133/ofr20191107",https://pubs.usgs.gov/of/2019/1107/ofr20191107_a1.pdf
Klamath River,Trees of heaven,2D hydrodynamic model,,169,171,41.831273,-122.66143,Developed 2012,google maps,"Perry, Russell W., et al. Application of the Stream Salmonid Simulator (S3) to Klamath River Fall Chinook Salmon (Oncorhynchus tshawytscha), California—Parameterization and Calibration. U.S. Geological Survey, 2019, https://doi.org/10.3133/ofr20191108",https://pubs.usgs.gov/of/2019/1107/ofr20191107_a1.pdf
Klamath River,Brown bear,2D hydrodynamic model,,,,41.826459,-122.976851,Developed 2012,google maps,"Perry, Russell W., et al. Application of the Stream Salmonid Simulator (S3) to Klamath River Fall Chinook Salmon (Oncorhynchus tshawytscha), California—Parameterization and Calibration. U.S. Geological Survey, 2019, https://doi.org/10.3133/ofr20191109",https://pubs.usgs.gov/of/2019/1107/ofr20191107_a1.pdf
Klamath River,Seiad,2D hydrodynamic model,,127,129,41.834872, -123.197032,Developed 2012,google maps,"Perry, Russell W., et al. Application of the Stream Salmonid Simulator (S3) to Klamath River Fall Chinook Salmon (Oncorhynchus tshawytscha), California—Parameterization and Calibration. U.S. Geological Survey, 2019, https://doi.org/10.3133/ofr20191110",https://pubs.usgs.gov/of/2019/1107/ofr20191107_a1.pdf
Klamath River,Rogers,2D hydrodynamic model,,70,71,41.445083,-123.49057,Developed 2012,google maps,"Perry, Russell W., et al. Application of the Stream Salmonid Simulator (S3) to Klamath River Fall Chinook Salmon (Oncorhynchus tshawytscha), California—Parameterization and Calibration. U.S. Geological Survey, 2019, https://doi.org/10.3133/ofr20191111",https://pubs.usgs.gov/of/2019/1107/ofr20191107_a1.pdf
Klamath River,Orleans,2D hydrodynamic model,,,,41.301859,-123.535708,Developed 2012,google maps,"Perry, Russell W., et al. Application of the Stream Salmonid Simulator (S3) to Klamath River Fall Chinook Salmon (Oncorhynchus tshawytscha), California—Parameterization and Calibration. U.S. Geological Survey, 2019, https://doi.org/10.3133/ofr20191112",https://pubs.usgs.gov/of/2019/1107/ofr20191107_a1.pdf
Klamath River,Saints Rest Bar,2D hydrodynamic model,,,,41.186554, -123.681503,Developed 2012,google maps,"Perry, Russell W., et al. Application of the Stream Salmonid Simulator (S3) to Klamath River Fall Chinook Salmon (Oncorhynchus tshawytscha), California—Parameterization and Calibration. U.S. Geological Survey, 2019, https://doi.org/10.3133/ofr20191113",https://pubs.usgs.gov/of/2019/1107/ofr20191107_a1.pdf
Klamath River,Pecwan,2D hydrodynamic model,,,,41.342348,-123.85684,Developed 2012,,"Perry, Russell W., et al. Application of the Stream Salmonid Simulator (S3) to Klamath River Fall Chinook Salmon (Oncorhynchus tshawytscha), California—Parameterization and Calibration. U.S. Geological Survey, 2019, https://doi.org/10.3133/ofr20191114",https://pubs.usgs.gov/of/2019/1107/ofr20191107_a1.pdf
Trinity River,Restoration Reach,SRH-2D,40,,,,,Developed 2015,,"Bradley, D.N., 2016, Trinity River 40 Mile Hydraulic Model—Development and analysis. Report to the Trinity River Restoration Program (TRRP), Technical Service Center report no SRH-2016-27: Denver, Colorado, U.S. Bureau of Reclamation.",https://www.trrp.net/library/document/?id=2297.
Trinity River,,micro-habitat models,,,,,,,,"Som et al, 2018",
Jenny Creek,,HEC-EFM,,,,,,In Development ,,RES,
Camp Creek,,HEC-EFM,,,,,,In Development ,,RES,
Beaver Creek,,HEC-EFM,,,,,,In Development ,,RES,
Spencer Creek,,HEC-EFM,,,,,,In Development ,,RES,